"SKU","Questionnaire","No","Question","A","B","C","D","E","F","G","H","Answer","Type","Difficulty","Free","Explanation","Image"
"Q-000001","HSCICD-A","1","The term community organization originated in ____ where it meant the coordination of existing social services through joint planning & fund-raising.","US","Manila","Spain","","","","","","A","mcq","","yes","",""
"Q-000002","HSCICD-A","2","Daughters of charity were organized by ____ in 1633.","Fr. Vincent de Paul","Juan Luis De Vives","Franciscan Order","Benjamin Thompson","","","","","A","mcq","","yes","",""
"Q-000003","HSCICD-A","3","It became the main agency of medieval charity.","hospital","foundations/charity","","","","","","","A","mcq","","yes","",""
"Q-000004","HSCICD-A","4","An Augustinian priest who proposed begging and a ""common chest"" for money, food and clothes for the needy be set up in all parishes.","Martin Luther","Martin Luther King","","","","","","","A","mcq","","yes","",""
"Q-000005","HSCICD-A","5","Recognized community legal responsibility for the poor but did little to change the social condition of poor families.","common chest","community chest","","","","","","","A","mcq","","yes","",""
"Q-000006","HSCICD-A","6","Their teachings became the basis for charitable works.","the Jewish & Christian","Religious devotion","","","","","","","A","mcq","","yes","",""
"Q-000007","HSCICD-A","7","Became the most powerful incentive for benevolence and charity.","mutual protection/mutual aid/mutual assistance","Religious devotion","","","","","","","B","mcq","","yes","",""
"Q-000008","HSCICD-A","8","He divided the city into Parish quarters, assisting 2 senators with a secretary to investigate the social conditions of pauper families and providing aid through vocational training instead of customary distribution of alms. The faith of the individual poor deserve attention.","Fr. Vincent de Paul","Juan Luis De Vives","Franciscan Order","Benjamin Thompson","","","","","B","mcq","","yes","",""
"Q-000009","HSCICD-A","9","Founded military workhouse to prevent sturdy beggars from begging.","Fr. Vincent de Paul","Juan Luis De Vives","Franciscan Order","Benjamin Thompson","","","","","D","mcq","","yes","",""
"Q-000010","HSCICD-A","10","Composed of young women who wanted to devote themselves to charitable works; forerunners of modern social casework.","Associated Charities","Daughters of Charities","","","","","","","B","mcq","","yes","",""
"Q-000011","HSCICD-A","11","Main motive of alms giving","Passport to heaven to avoid hell","Salvation of soul with little concern to human being who received charity","","","","","","","B","mcq","","","",""
"Q-000012","HSCICD-A","12","Relief to destitute was first distributed by ____.","Franciscan Order","Priests","","","","","","","B","mcq","","","",""
"Q-000013","HSCICD-A","13","12th – 15th century, relief activities of the church were supplemented by charities sponsored by guilds.","True","False","","","","","","","A","mcq","","","",""
"Q-000014","HSCICD-A","14","The 1st Poor Law in England was based on national catastrophe called ____ in 1348.","WWII","Black Death","","","","","","","B","mcq","","","",""
"Q-000015","HSCICD-A","15","He designed the Statute of Laborers to prevent vagrancy and begging, to force the rural workers to stay on the land.","Henry VIII","Edward III","","","","","","","B","mcq","","","",""
"Q-000016","HSCICD-A","16","He designed the 1st constructive measure taken by the government for relief of the poor, the law (Reformation) marked the beginning of public responsibility for the poor.","Charles II","Henry VIII","","","","","","","B","mcq","","","",""
"Q-000017","HSCICD-A","17","Codification of previous poor laws in England; made it compulsory for parishes to levy a 'poor rate' to fund financial support ('public assistance') for those who could not work.","Elizabethan Poor Law of 1901","Elizabethan Poor Law of 1601","","","","","","","B","mcq","","","",""
"Q-000018","HSCICD-A","18","'sturdy beggars'","Able-bodied Poor","Impotent Poor","Dependent Poor","","","","","","A","mcq","","","",""
"Q-000019","HSCICD-A","19","people who were not able to work","Able-bodied Poor","Impotent Poor","Dependent Poor","","","","","","B","mcq","","","",""
"Q-000020","HSCICD-A","20","orphans, foundling, children, deserted by parents or parents are poor.","Able-bodied Poor","Impotent Poor","Dependent Poor","","","","","","C","mcq","","","",""
"Q-000021","HSCICD-A","21","Enacted by Charles II to protect the community against additional burden created by poor persons moving in from communities.","Settlement Movement","Settlement Act of 1662","","","","","","","B","mcq","","","",""
"Q-000022","HSCICD-A","22","Stated that the state should not interfere with private economy.","Adam Smith","Thomas Malthus","","","","","","","A","mcq","","","",""
"Q-000023","HSCICD-A","23","He disapproved poor relief as it tended to encourage paupers to have more children to get relief for them.","Thomas Chalmers","Thomas Malthus","","","","","","","B","mcq","","","",""
"Q-000024","HSCICD-A","24","A Parish minister in Scotland ; principle of neighborly aid.","Thomas Chalmers","Thomas Malthus","","","","","","","A","mcq","","","",""
"Q-000025","HSCICD-A","25","Laid the 1st foundation for individual approach in social work – casework.","COS","London Charity Organization Society","","","","","","","B","mcq","","","",""
"Q-000026","HSCICD-A","26","The pioneer of public hygiene; developed a program against contagious disease.","Edwin Chadwick","Sir Robert Peel","","","","","","","A","mcq","","","",""
"Q-000027","HSCICD-A","27","He initiated the Health and Moral Act of 1802, he objected the use of young children in labor work camp and textile mills.","William Beveridge","Sir Robert Peel","","","","","","","B","mcq","","","",""
"Q-000028","HSCICD-A","28","He devised a system of social security; 5 giant evils.","William Beveridge","Sir Robert Peel","","","","","","","A","mcq","","","",""
"Q-000029","HSCICD-A","29","The 1st hospital and was transferred to Manila in 1571 under the Franciscans; it was renamed Steinberg General Hospital; originator of SanLazaro and San Juan De Dios during American Period.","Hospicio de San Jose","Hospitalito de Santa Ana","","","","","","","B","mcq","","","",""
"Q-000030","HSCICD-A","30","Hospital for lepers; was also built to house beggars; it started the concept of organized isolation of the sick – Fr. Juan Clemente.","San Lazaro","San Juan De Dios","","","","","","","A","mcq","","","",""
"Q-000031","HSCICD-A","31","Asylums that were organized ____ to take care of the victims of cholera epidemic, except one.","Nuestra Senora Dela Consolacion","Santo Tomas de Villanueva","Hospicio","","","","","","C","mcq","","","",""
"Q-000032","HSCICD-A","32","Established to house the aged, orphans, mentally defective and young boys requiring reform.","Hospicio de San Jose","Asilo de San Vicente","","","","","","","A","mcq","","","",""
"Q-000033","HSCICD-A","33","The 1st asylum for girls.","Parochial School of Cebu","Asilo de San Vicente","","","","","","","B","mcq","","","",""
"Q-000034","HSCICD-A","34","Parochial school of Cebu, the 1st school established by the ____.","Franciscans","Augustinians","","","","","","","B","mcq","","","",""
"Q-000035","HSCICD-A","35","1st school for boys.","Colegio de San Felipe","Colegio de San Ignacio","","","","","","","B","mcq","","","",""
