"SKU","Questionnaire","No","Question","Choices","Answer","Type","Difficulty","Free","Explanation","Image"
"Q-000001","HSCICD-A","1","The term community organization originated in ____ where it meant the coordination of existing social services through joint planning & fund-raising.","A. US
B. Manila
C. Spain","A","mcq","","yes","",""
"Q-000002","HSCICD-A","2","Daughters of charity were organized by ____ in 1633.","A. Fr. Vincent de Paul
B. Juan Luis De Vives
C. Franciscan Order
D. Benjamin Thompson","A","mcq","","yes","",""
"Q-000003","HSCICD-A","3","It became the main agency of medieval charity.","A. hospital
B. foundations/charity","A","mcq","","yes","",""
"Q-000004","HSCICD-A","4","An Augustinian priest who proposed begging and a ""common chest"" for money, food and clothes for the needy be set up in all parishes.","A. Martin Luther
B. Martin Luther King","A","mcq","","yes","",""
"Q-000005","HSCICD-A","5","Recognized community legal responsibility for the poor but did little to change the social condition of poor families.","A. common chest
B. community chest","A","mcq","","yes","",""
"Q-000006","HSCICD-A","6","Their teachings became the basis for charitable works.","A. the Jewish & Christian
B. Religious devotion","A","mcq","","yes","",""
"Q-000007","HSCICD-A","7","Became the most powerful incentive for benevolence and charity.","A. mutual protection/mutual aid/mutual assistance
B. Religious devotion","B","mcq","","yes","",""
"Q-000008","HSCICD-A","8","He divided the city into Parish quarters, assisting 2 senators with a secretary to investigate the social conditions of pauper families and providing aid through vocational training instead of customary distribution of alms. The faith of the individual poor deserve attention.","A. Fr. Vincent de Paul
B. Juan Luis De Vives
C. Franciscan Order
D. Benjamin Thompson","B","mcq","","yes","",""
"Q-000009","HSCICD-A","9","Founded military workhouse to prevent sturdy beggars from begging.","A. Fr. Vincent de Paul
B. Juan Luis De Vives
C. Franciscan Order
D. Benjamin Thompson","D","mcq","","yes","",""
"Q-000010","HSCICD-A","10","Composed of young women who wanted to devote themselves to charitable works; forerunners of modern social casework.","A. Associated Charities
B. Daughters of Charities","B","mcq","","yes","",""
"Q-000011","HSCICD-A","11","Main motive of alms giving","A. Passport to heaven to avoid hell
B. Salvation of soul with little concern to human being who received charity","B","mcq","","","",""
"Q-000012","HSCICD-A","12","Relief to destitute was first distributed by ____.","A. Franciscan Order
B. Priests","B","mcq","","","",""
