"Questionnaire","No","Question","A","B","C","D","E","Answer","Type","Difficulty","Explanation","Image"
"history_social_conditions_issues_co_drill_set_a","1","The term community organization originated in ____ where it meant the coordination of existing social services through joint planning & fund-raising.","US","Manila","Spain","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","2","Daughters of charity were organized by ____ in 1633.","Fr. Vincent de Paul","Juan Luis De Vives","Franciscan Order","Benjamin Thompson","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","3","It became the main agency of medieval charity.","hospital","foundations/charity","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","4","An Augustinian priest who proposed begging and a ""common chest"" for money, food and clothes for the needy be set up in all parishes.","Martin Luther","Martin Luther King","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","5","Recognized community legal responsibility for the poor but did little to change the social condition of poor families.","common chest","community chest","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","6","Their teachings became the basis for charitable works.","the Jewish & Christian","Religious devotion","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","7","Became the most powerful incentive for benevolence and charity.","mutual protection/mutual aid/mutual assistance","Religious devotion","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","8","He divided the city into Parish quarters, assisting 2 senators with a secretary to investigate the social conditions of pauper families and providing aid through vocational training instead of customary distribution of alms. The faith of the individual poor deserve attention.","Fr. Vincent de Paul","Juan Luis De Vives","Franciscan Order","Benjamin Thompson","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","9","Founded military workhouse to prevent sturdy beggars from begging.","Fr. Vincent de Paul","Juan Luis De Vives","Franciscan Order","Benjamin Thompson","","D","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","10","Composed of young women who wanted to devote themselves to charitable works; forerunners of modern social casework.","Associated Charities","Daughters of Charities","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","11","Main motive of alms giving","Passport to heaven to avoid hell","Salvation of soul with little concern to human being who received charity","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","12","Relief to destitute was first distributed by ____.","Franciscan Order","Priests","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","13","12th – 15th century, relief activities of the church were supplemented by charities sponsored by guilds.","True","False","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","14","The 1st Poor Law in England was based on national catastrophe called ____ in 1348.","WWII","Black Death","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","15","He designed the Statute of Laborers to prevent vagrancy and begging, to force the rural workers to stay on the land.","Henry VIII","Edward III","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","16","He designed the 1st constructive measure taken by the government for relief of the poor, the law (Reformation) marked the beginning of public responsibility for the poor.","Charles II","Henry VIII","","","","B","mcq","","",""
